cuda:0
Training from scratch
Training dataset loaded: Number of batches: 1563, Number of images: 50000
Steps: 14268/156300 	 loss (ema): 0.056 	 Time elapsed: 0.952 hr
Steps: 14368/156300 	 loss (ema): 0.061 	 Time elapsed: 0.959 hr
Steps: 14468/156300 	 loss (ema): 0.053 	 Time elapsed: 0.966 hr
Steps: 14568/156300 	 loss (ema): 0.061 	 Time elapsed: 0.972 hr
Steps: 14668/156300 	 loss (ema): 0.062 	 Time elapsed: 0.979 hr
Steps: 14768/156300 	 loss (ema): 0.054 	 Time elapsed: 0.986 hr
Steps: 14868/156300 	 loss (ema): 0.057 	 Time elapsed: 0.993 hr
Steps: 14968/156300 	 loss (ema): 0.058 	 Time elapsed: 0.999 hr
Steps: 15068/156300 	 loss (ema): 0.057 	 Time elapsed: 1.006 hr
Steps: 15168/156300 	 loss (ema): 0.056 	 Time elapsed: 1.013 hr
Steps: 15268/156300 	 loss (ema): 0.056 	 Time elapsed: 1.019 hr
Steps: 15368/156300 	 loss (ema): 0.050 	 Time elapsed: 1.026 hr
Steps: 15468/156300 	 loss (ema): 0.063 	 Time elapsed: 1.033 hr
Steps: 15568/156300 	 loss (ema): 0.056 	 Time elapsed: 1.039 hr
Steps: 15631/156300 	 loss (ema): 0.060 	 Time elapsed: 1.043 hr
Steps: 15731/156300 	 loss (ema): 0.062 	 Time elapsed: 1.050 hr
Steps: 15831/156300 	 loss (ema): 0.053 	 Time elapsed: 1.057 hr
Steps: 15931/156300 	 loss (ema): 0.057 	 Time elapsed: 1.063 hr
Steps: 16031/156300 	 loss (ema): 0.061 	 Time elapsed: 1.070 hr
Steps: 16131/156300 	 loss (ema): 0.059 	 Time elapsed: 1.077 hr
Steps: 16231/156300 	 loss (ema): 0.054 	 Time elapsed: 1.083 hr
Steps: 16331/156300 	 loss (ema): 0.056 	 Time elapsed: 1.090 hr
Steps: 16431/156300 	 loss (ema): 0.062 	 Time elapsed: 1.097 hr
Steps: 16531/156300 	 loss (ema): 0.069 	 Time elapsed: 1.103 hr
Steps: 16631/156300 	 loss (ema): 0.059 	 Time elapsed: 1.110 hr
Steps: 16731/156300 	 loss (ema): 0.050 	 Time elapsed: 1.117 hr
Steps: 16831/156300 	 loss (ema): 0.055 	 Time elapsed: 1.123 hr
Steps: 16931/156300 	 loss (ema): 0.064 	 Time elapsed: 1.130 hr
Steps: 17031/156300 	 loss (ema): 0.066 	 Time elapsed: 1.137 hr
Steps: 17131/156300 	 loss (ema): 0.058 	 Time elapsed: 1.143 hr
Epoch 10 completed
Steps: 17194/156300 	 loss (ema): 0.047 	 Time elapsed: 1.148 hr
Steps: 17294/156300 	 loss (ema): 0.057 	 Time elapsed: 1.154 hr
Steps: 17394/156300 	 loss (ema): 0.053 	 Time elapsed: 1.161 hr
Steps: 17494/156300 	 loss (ema): 0.047 	 Time elapsed: 1.168 hr
Steps: 17594/156300 	 loss (ema): 0.056 	 Time elapsed: 1.174 hr
Steps: 17694/156300 	 loss (ema): 0.049 	 Time elapsed: 1.181 hr
Steps: 17794/156300 	 loss (ema): 0.062 	 Time elapsed: 1.188 hr
Steps: 17894/156300 	 loss (ema): 0.060 	 Time elapsed: 1.194 hr
Steps: 17994/156300 	 loss (ema): 0.054 	 Time elapsed: 1.201 hr
Steps: 18094/156300 	 loss (ema): 0.054 	 Time elapsed: 1.208 hr
Steps: 18194/156300 	 loss (ema): 0.048 	 Time elapsed: 1.215 hr
Steps: 18294/156300 	 loss (ema): 0.054 	 Time elapsed: 1.221 hr
Steps: 18394/156300 	 loss (ema): 0.060 	 Time elapsed: 1.228 hr
Steps: 18494/156300 	 loss (ema): 0.050 	 Time elapsed: 1.235 hr
Steps: 18594/156300 	 loss (ema): 0.053 	 Time elapsed: 1.241 hr
Steps: 18694/156300 	 loss (ema): 0.057 	 Time elapsed: 1.248 hr
Steps: 18757/156300 	 loss (ema): 0.058 	 Time elapsed: 1.252 hr
Steps: 18857/156300 	 loss (ema): 0.046 	 Time elapsed: 1.259 hr
Steps: 18957/156300 	 loss (ema): 0.049 	 Time elapsed: 1.266 hr
Steps: 19057/156300 	 loss (ema): 0.056 	 Time elapsed: 1.272 hr
Steps: 19157/156300 	 loss (ema): 0.054 	 Time elapsed: 1.279 hr
Steps: 19257/156300 	 loss (ema): 0.058 	 Time elapsed: 1.286 hr
Steps: 19357/156300 	 loss (ema): 0.060 	 Time elapsed: 1.292 hr
Steps: 19457/156300 	 loss (ema): 0.059 	 Time elapsed: 1.299 hr
Steps: 19557/156300 	 loss (ema): 0.056 	 Time elapsed: 1.306 hr
Steps: 19657/156300 	 loss (ema): 0.051 	 Time elapsed: 1.312 hr
Steps: 19757/156300 	 loss (ema): 0.049 	 Time elapsed: 1.319 hr
Steps: 19857/156300 	 loss (ema): 0.052 	 Time elapsed: 1.326 hr
Steps: 19957/156300 	 loss (ema): 0.050 	 Time elapsed: 1.333 hr
Steps: 20057/156300 	 loss (ema): 0.064 	 Time elapsed: 1.339 hr
Steps: 20157/156300 	 loss (ema): 0.056 	 Time elapsed: 1.346 hr
Steps: 20257/156300 	 loss (ema): 0.053 	 Time elapsed: 1.353 hr
Steps: 20320/156300 	 loss (ema): 0.053 	 Time elapsed: 1.357 hr
Steps: 20420/156300 	 loss (ema): 0.057 	 Time elapsed: 1.364 hr
Steps: 20520/156300 	 loss (ema): 0.052 	 Time elapsed: 1.370 hr
Steps: 20620/156300 	 loss (ema): 0.057 	 Time elapsed: 1.377 hr
Steps: 20720/156300 	 loss (ema): 0.054 	 Time elapsed: 1.384 hr
Steps: 20820/156300 	 loss (ema): 0.058 	 Time elapsed: 1.390 hr
Steps: 20920/156300 	 loss (ema): 0.056 	 Time elapsed: 1.397 hr
Steps: 21020/156300 	 loss (ema): 0.049 	 Time elapsed: 1.404 hr
Steps: 21120/156300 	 loss (ema): 0.060 	 Time elapsed: 1.410 hr
Steps: 21220/156300 	 loss (ema): 0.055 	 Time elapsed: 1.417 hr
Steps: 21320/156300 	 loss (ema): 0.047 	 Time elapsed: 1.423 hr
Steps: 21420/156300 	 loss (ema): 0.051 	 Time elapsed: 1.430 hr
Steps: 21520/156300 	 loss (ema): 0.050 	 Time elapsed: 1.437 hr
Steps: 21620/156300 	 loss (ema): 0.057 	 Time elapsed: 1.443 hr
Steps: 21720/156300 	 loss (ema): 0.048 	 Time elapsed: 1.450 hr
Steps: 21820/156300 	 loss (ema): 0.061 	 Time elapsed: 1.457 hr
Steps: 21883/156300 	 loss (ema): 0.054 	 Time elapsed: 1.461 hr
Steps: 21983/156300 	 loss (ema): 0.053 	 Time elapsed: 1.468 hr
Steps: 22083/156300 	 loss (ema): 0.056 	 Time elapsed: 1.474 hr
Steps: 22183/156300 	 loss (ema): 0.053 	 Time elapsed: 1.481 hr
Steps: 22283/156300 	 loss (ema): 0.051 	 Time elapsed: 1.488 hr
Steps: 22383/156300 	 loss (ema): 0.052 	 Time elapsed: 1.494 hr
Steps: 22483/156300 	 loss (ema): 0.057 	 Time elapsed: 1.501 hr
Steps: 22583/156300 	 loss (ema): 0.054 	 Time elapsed: 1.508 hr
Steps: 22683/156300 	 loss (ema): 0.053 	 Time elapsed: 1.514 hr
Steps: 22783/156300 	 loss (ema): 0.061 	 Time elapsed: 1.521 hr
Steps: 22883/156300 	 loss (ema): 0.065 	 Time elapsed: 1.528 hr
Steps: 22983/156300 	 loss (ema): 0.054 	 Time elapsed: 1.534 hr
Steps: 23083/156300 	 loss (ema): 0.049 	 Time elapsed: 1.541 hr
Steps: 23183/156300 	 loss (ema): 0.058 	 Time elapsed: 1.548 hr
Steps: 23283/156300 	 loss (ema): 0.056 	 Time elapsed: 1.554 hr
Steps: 23383/156300 	 loss (ema): 0.050 	 Time elapsed: 1.561 hr
Steps: 23446/156300 	 loss (ema): 0.058 	 Time elapsed: 1.565 hr
Steps: 23546/156300 	 loss (ema): 0.051 	 Time elapsed: 1.572 hr
Steps: 23646/156300 	 loss (ema): 0.048 	 Time elapsed: 1.579 hr
Steps: 23746/156300 	 loss (ema): 0.052 	 Time elapsed: 1.585 hr
Steps: 23846/156300 	 loss (ema): 0.048 	 Time elapsed: 1.592 hr
Steps: 23946/156300 	 loss (ema): 0.057 	 Time elapsed: 1.599 hr
Steps: 24046/156300 	 loss (ema): 0.058 	 Time elapsed: 1.605 hr
Steps: 24146/156300 	 loss (ema): 0.055 	 Time elapsed: 1.612 hr
Steps: 24246/156300 	 loss (ema): 0.045 	 Time elapsed: 1.619 hr
Steps: 24346/156300 	 loss (ema): 0.054 	 Time elapsed: 1.625 hr
Steps: 24446/156300 	 loss (ema): 0.053 	 Time elapsed: 1.632 hr
Steps: 24546/156300 	 loss (ema): 0.046 	 Time elapsed: 1.639 hr
Steps: 24646/156300 	 loss (ema): 0.065 	 Time elapsed: 1.645 hr
Steps: 24746/156300 	 loss (ema): 0.056 	 Time elapsed: 1.652 hr
Steps: 24846/156300 	 loss (ema): 0.057 	 Time elapsed: 1.659 hr
Steps: 24946/156300 	 loss (ema): 0.055 	 Time elapsed: 1.665 hr
Steps: 25009/156300 	 loss (ema): 0.047 	 Time elapsed: 1.670 hr
Steps: 25109/156300 	 loss (ema): 0.047 	 Time elapsed: 1.676 hr
Steps: 25209/156300 	 loss (ema): 0.055 	 Time elapsed: 1.683 hr
Steps: 25309/156300 	 loss (ema): 0.062 	 Time elapsed: 1.690 hr
Steps: 25409/156300 	 loss (ema): 0.051 	 Time elapsed: 1.696 hr
Steps: 25509/156300 	 loss (ema): 0.058 	 Time elapsed: 1.703 hr
Steps: 25609/156300 	 loss (ema): 0.051 	 Time elapsed: 1.710 hr
Steps: 25709/156300 	 loss (ema): 0.056 	 Time elapsed: 1.717 hr
Steps: 25809/156300 	 loss (ema): 0.050 	 Time elapsed: 1.723 hr
Steps: 25909/156300 	 loss (ema): 0.061 	 Time elapsed: 1.730 hr
Steps: 26009/156300 	 loss (ema): 0.050 	 Time elapsed: 1.737 hr
Steps: 26109/156300 	 loss (ema): 0.055 	 Time elapsed: 1.743 hr
Steps: 26209/156300 	 loss (ema): 0.052 	 Time elapsed: 1.750 hr
Steps: 26309/156300 	 loss (ema): 0.060 	 Time elapsed: 1.757 hr
Steps: 26409/156300 	 loss (ema): 0.048 	 Time elapsed: 1.763 hr
Steps: 26509/156300 	 loss (ema): 0.048 	 Time elapsed: 1.770 hr
Steps: 26572/156300 	 loss (ema): 0.057 	 Time elapsed: 1.774 hr
Steps: 26672/156300 	 loss (ema): 0.050 	 Time elapsed: 1.781 hr
Steps: 26772/156300 	 loss (ema): 0.052 	 Time elapsed: 1.787 hr
Steps: 26872/156300 	 loss (ema): 0.058 	 Time elapsed: 1.794 hr
Steps: 26972/156300 	 loss (ema): 0.052 	 Time elapsed: 1.801 hr
Steps: 27072/156300 	 loss (ema): 0.053 	 Time elapsed: 1.807 hr
Steps: 27172/156300 	 loss (ema): 0.054 	 Time elapsed: 1.814 hr
Steps: 27272/156300 	 loss (ema): 0.054 	 Time elapsed: 1.821 hr
Steps: 27372/156300 	 loss (ema): 0.055 	 Time elapsed: 1.827 hr
Steps: 27472/156300 	 loss (ema): 0.059 	 Time elapsed: 1.834 hr
Steps: 27572/156300 	 loss (ema): 0.053 	 Time elapsed: 1.841 hr
Steps: 27672/156300 	 loss (ema): 0.052 	 Time elapsed: 1.847 hr
Steps: 27772/156300 	 loss (ema): 0.046 	 Time elapsed: 1.854 hr
Steps: 27872/156300 	 loss (ema): 0.057 	 Time elapsed: 1.861 hr
Steps: 27972/156300 	 loss (ema): 0.053 	 Time elapsed: 1.867 hr
Steps: 28072/156300 	 loss (ema): 0.051 	 Time elapsed: 1.874 hr
Steps: 28135/156300 	 loss (ema): 0.063 	 Time elapsed: 1.878 hr
Steps: 28235/156300 	 loss (ema): 0.054 	 Time elapsed: 1.885 hr
Steps: 28335/156300 	 loss (ema): 0.045 	 Time elapsed: 1.891 hr
Steps: 28435/156300 	 loss (ema): 0.055 	 Time elapsed: 1.898 hr
Steps: 28535/156300 	 loss (ema): 0.049 	 Time elapsed: 1.905 hr
Steps: 28635/156300 	 loss (ema): 0.052 	 Time elapsed: 1.912 hr
Steps: 28735/156300 	 loss (ema): 0.059 	 Time elapsed: 1.918 hr
Steps: 28835/156300 	 loss (ema): 0.059 	 Time elapsed: 1.925 hr
